ATL Atlanta
LAX Los_Angeles
ORD Chicago
DFW Dallas_Fort_Worth
DEN Denver
JFK New_York_JFK
SFO San_Francisco
SEA Seattle
LAS Las_Vegas
MCO Orlando
CLT Charlotte
PHX Phoenix
MIA Miami
IAH Houston
BOS Boston
EWR Newark
MSP Minneapolis
DTW Detroit
PHL Philadelphia
LGA LaGuardia
BWI Baltimore
SLC Salt_Lake_City
SAN San_Diego
DCA Washington_Reagan
IAD Washington_Dulles
TPA Tampa
HNL Honolulu
PDX Portland
AUS Austin
STL Saint_Louis
RDU Raleigh
SJC San_Jose
SMF Sacramento
ONT Ontario
CLE Cleveland
CMH Columbus
MKE Milwaukee
PIT Pittsburgh
CVG Cincinnati
JAX Jacksonville
OAK Oakland
SNA Orange_County
PBI West_Palm_Beach
BUF Buffalo
RIC Richmond
ABQ Albuquerque
OMA Omaha
BOI Boise
ANC Anchorage
